Hospital Name,State,District
SDH DOORU ANANTNAG,JAMMU AND KASHMIR,Ananthnag
CHCKokernag,JAMMU AND KASHMIR,Ananthnag
SDH TRAL,JAMMU AND KASHMIR,PULWAMA
Community Health Center Pampore,JAMMU AND KASHMIR,PULWAMA
Community Health centre batote,JAMMU AND KASHMIR,RAMBAN
Community health centre Gool,JAMMU AND KASHMIR,RAMBAN
Government Sub District Hospital Kupwara,JAMMU AND KASHMIR,KUPWARA
Government Sub District Hospital Sogam,JAMMU AND KASHMIR,KUPWARA
Government Community Heath Centre Zachaldara ,JAMMU AND KASHMIR,KUPWARA
Government Community Health Centre Langate,JAMMU AND KASHMIR,KUPWARA
Government Community Health Centre Kralgund ,JAMMU AND KASHMIR,KUPWARA
Comminity Health Centre Rajpora Pulwama,JAMMU AND KASHMIR,PULWAMA
Government Community Health Centre Kralpora,JAMMU AND KASHMIR,KUPWARA
Government Sub District Hospital Tangdar,JAMMU AND KASHMIR,KUPWARA
CHC Mendhar,JAMMU AND KASHMIR,POONCH
CHC Surankote,JAMMU AND KASHMIR,POONCH
CHC MANDI,JAMMU AND KASHMIR,POONCH
Associated District Hospital GMC Handwara,JAMMU AND KASHMIR,KUPWARA
BONE AND JOINT HOSPITAL BAKSHI NAGAR,JAMMU AND KASHMIR,JAMMU
All India Institute of Medical Sciences Vijaypur Jammu,JAMMU AND KASHMIR,SAMBA
Government Sub District Hospital Banihal,JAMMU AND KASHMIR,RAMBAN
Super Speciality Hospital Govt Medical College Jammu,JAMMU AND KASHMIR,JAMMU
CHC NOWSHERA,JAMMU AND KASHMIR,RAJAURI
GOVT. MEDICAL COLLEGE HOSPITAL JAMMU,JAMMU AND KASHMIR,JAMMU
GOVT. CHEST DISEASES HOSPITAL JAMMU,JAMMU AND KASHMIR,JAMMU
CHC Kalakote,JAMMU AND KASHMIR,RAJAURI
SDH Sunder Bani,JAMMU AND KASHMIR,RAJAURI
psychiatric diseases hospital Govt. Medical College Jammu ,JAMMU AND KASHMIR,JAMMU
CHC Darhal,JAMMU AND KASHMIR,RAJAURI
CHC Marwah,JAMMU AND KASHMIR,KISHTWAR
CHC ZAINPORA,JAMMU AND KASHMIR,SHOPIAN
CHC DRass,LADAKH,KARGIL
CHC Sankoo,LADAKH,KARGIL
CHC Padum Zanskar,LADAKH,KARGIL
CHC Chiktan,LADAKH,KARGIL
CHC KELLER,JAMMU AND KASHMIR,SHOPIAN
GOVERNMENT KASHMIR NURSING HOME,JAMMU AND KASHMIR,SRINAGAR
CHC SHANGUS,JAMMU AND KASHMIR,Ananthnag
CHC KREERI,JAMMU AND KASHMIR,BARAMULLA
CHC Pattan,JAMMU AND KASHMIR,BARAMULLA
CHC Kandi,JAMMU AND KASHMIR,RAJAURI
CHC Chandoosa,JAMMU AND KASHMIR,BARAMULLA
CHC TANGMARG ,JAMMU AND KASHMIR,BARAMULLA
Sub District Hospital Uri,JAMMU AND KASHMIR,BARAMULLA
Trauma Hospital Kangan,JAMMU AND KASHMIR,GANDERBAL
CHC HAJIN,JAMMU AND KASHMIR,Bandipur
CHC GUREZ,JAMMU AND KASHMIR,Bandipur
CHC JOURIAN,JAMMU AND KASHMIR,JAMMU
CHC SUMBAL,JAMMU AND KASHMIR,Bandipur
CHC Khansahib,JAMMU AND KASHMIR,Budgam
CHC   SOPORE,JAMMU AND KASHMIR,BARAMULLA
CHC Chadoora,JAMMU AND KASHMIR,Budgam
CHC KREMSHORE,JAMMU AND KASHMIR,Budgam
CHC Beerwah,JAMMU AND KASHMIR,Budgam
CHC  Chattergam,JAMMU AND KASHMIR,Budgam
SDH Magam,JAMMU AND KASHMIR,Budgam
CHC Chrari Shrief,JAMMU AND KASHMIR,Budgam
CHC Pakherpora,JAMMU AND KASHMIR,Budgam
SDH Nagam,JAMMU AND KASHMIR,Budgam
Government Children Hospital Bemina Srinagar,JAMMU AND KASHMIR,SRINAGAR
Govt. Lalla Ded Hospital Srinagar,JAMMU AND KASHMIR,SRINAGAR
GOVERNMENT PSYCHIATRIC DISEASES HOSPITAL SRINAGAR,JAMMU AND KASHMIR,SRINAGAR
SMGS,JAMMU AND KASHMIR,JAMMU
Shri Maharaja Hari Singh hospital,JAMMU AND KASHMIR,SRINAGAR
SKIMS,JAMMU AND KASHMIR,SRINAGAR
Bone and Joint Hospital Srinagar,JAMMU AND KASHMIR,SRINAGAR
Govt Super Specialty Hospital Srinagar,JAMMU AND KASHMIR,SRINAGAR
Govt Chest Diseases Hospital Srinagar,JAMMU AND KASHMIR,SRINAGAR
SKIMS MEDICAL COLLAGE HOSPITAL BEMINA SRINAGAR ,JAMMU AND KASHMIR,SRINAGAR
INDRA GANDHI GOVERNMENT DENTAL COLLEGE AND HOSPITAL JAMMU,JAMMU AND KASHMIR,JAMMU
SADAR HOSPITAL HAZARIBAGH,JHARKHAND,Hazaribag
Central Institute of Psychiatry,JHARKHAND,RANCHI
uchc kenduadih dhanbad jharkhand,JHARKHAND,DHANBAD
Community health centre markacho,JHARKHAND,KODERMA
area hospital kathara,JHARKHAND,BOKARO
MAHATMA GANDHI MEMORIAL MEDICAL COLLEGE HOSPITAL JAMSHEDPUR,JHARKHAND,East Singhbhum
RAJENDRA INSTITUTE OF MEDICAL SCIENCES,JHARKHAND,RANCHI
COMMUNITY HEALTH CENTRE MERAL GARHWA,JHARKHAND,GARHWA
COMMUNITY HEALTH CENTRE  LAPUNG,JHARKHAND,RANCHI
DISTRICT HOSPITAL GODDA,JHARKHAND,GODDA
CHC MEHARMA,JHARKHAND,GODDA
sadar hospital lohardaga,JHARKHAND,LOHARDAGA
SADAR HOSPITAL GARHWA,JHARKHAND,GARHWA
District Hospital Ramgarh,JHARKHAND,RAMGARH
DISTRICT HOSPITAL KODERMA,JHARKHAND,KODERMA
Sadar Hospital Pakur,JHARKHAND,PAKUR
SADAR HOSPITAL DALTONGANJ,JHARKHAND,Palamau
Sadar Hospital,JHARKHAND,DUMKA
Sadar Hospital,JHARKHAND,East Singhbhum
Sadar Hospital Chaibasa,JHARKHAND,WEST SINGHBHUM
CHC MANJHION,JHARKHAND,GARHWA
CHC SUNDARPAHARI,JHARKHAND,GODDA
CHC PORAIYAHAT,JHARKHAND,GODDA
CHC PATHARGAMA,JHARKHAND,GODDA
Sadar Hospital,JHARKHAND,GUMLA
CHC Kumardungi,JHARKHAND,WEST SINGHBHUM
CHC Goilkera,JHARKHAND,WEST SINGHBHUM
CHC Jhinkpani,JHARKHAND,WEST SINGHBHUM
CHC Jagnathpur,JHARKHAND,WEST SINGHBHUM
CHC Bandgaon,JHARKHAND,WEST SINGHBHUM
SADAR HOSPITAL,JHARKHAND,CHATRA
CHC Bara Jamda,JHARKHAND,WEST SINGHBHUM
District hospital Khunti,JHARKHAND,KHUNTI
chc chakradharpur,JHARKHAND,WEST SINGHBHUM
CHC KHUNTPANI,JHARKHAND,WEST SINGHBHUM
CHC MAJHGAON,JHARKHAND,WEST SINGHBHUM
CHC MANJHARI,JHARKHAND,WEST SINGHBHUM
CHC MANOHARPUR,JHARKHAND,WEST SINGHBHUM
CHC SONUA,JHARKHAND,WEST SINGHBHUM
CHC TANTNAGAR,JHARKHAND,WEST SINGHBHUM
CHC TONTO,JHARKHAND,WEST SINGHBHUM
District Hospital,JHARKHAND,JAMTARA
Sadar hospital,JHARKHAND,Sahibganj
SADAR HOSPITAL,JHARKHAND,BOKARO
Sadar Hospital,JHARKHAND,RANCHI
CHC MANIKA,JHARKHAND,LATEHAR
chc baghmara,JHARKHAND,DHANBAD
SDH CHAS,JHARKHAND,BOKARO
SDH BERMO,JHARKHAND,BOKARO
SDH TENUGHAT,JHARKHAND,BOKARO
CHC CHAS,JHARKHAND,BOKARO
CHC CHANDANKIYARI,JHARKHAND,BOKARO
CHC JARIDIH,JHARKHAND,BOKARO
CHC Barkagaon,JHARKHAND,Hazaribag
CHC KASMAR,JHARKHAND,BOKARO
CHC Baliapur,JHARKHAND,DHANBAD
CHC BERMO,JHARKHAND,BOKARO
CHC GOMIA,JHARKHAND,BOKARO
CHC NAWADIH,JHARKHAND,BOKARO
CHC PETERWAR,JHARKHAND,BOKARO
CHC Govindpur,JHARKHAND,DHANBAD
CHC Jharia,JHARKHAND,DHANBAD
UCHC Sindri,JHARKHAND,DHANBAD
Sadar Hospital Latehar,JHARKHAND,LATEHAR
CHC Nirsa,JHARKHAND,DHANBAD
CHC Tundi,JHARKHAND,DHANBAD
CHC Topchanchi,JHARKHAND,DHANBAD
CHC Chandwa,JHARKHAND,LATEHAR
CHC Balumath,JHARKHAND,LATEHAR
CHC kURU,JHARKHAND,LOHARDAGA
CHC AMRAPARA,JHARKHAND,PAKUR
CHC Bhandra,JHARKHAND,LOHARDAGA
CHC ANAGRA,JHARKHAND,RANCHI
CHC HIRANPUR,JHARKHAND,PAKUR
CHC KISKO,JHARKHAND,LOHARDAGA
CHC BERO,JHARKHAND,RANCHI
SDH BUNDU,JHARKHAND,RANCHI
CHC BURMU,JHARKHAND,RANCHI
CHC CHANHO,JHARKHAND,RANCHI
CHC Senha,JHARKHAND,LOHARDAGA
CHC KANKE,JHARKHAND,RANCHI
CHC MANDAR,JHARKHAND,RANCHI
CHC NAMKUM,JHARKHAND,RANCHI
UPHC PAKUR,JHARKHAND,PAKUR
CHC NARAYANPUR,JHARKHAND,JAMTARA
CHC LITTIPARA,JHARKHAND,PAKUR
CHC MAHESHPUR,JHARKHAND,PAKUR
CHC PAKURIA,JHARKHAND,PAKUR
Sadar Hospital,JHARKHAND,Seraikela Kharsawan
CHC BOARIJORE,JHARKHAND,GODDA
CHC katkamsandi,JHARKHAND,Hazaribag
CHC Itkhori,JHARKHAND,CHATRA
CHC Hunterganj,JHARKHAND,CHATRA
CHC Pratappur,JHARKHAND,CHATRA
CHC Tandwa,JHARKHAND,CHATRA
chc chatra,JHARKHAND,CHATRA
Referal Hospital simaria,JHARKHAND,CHATRA
SUB DIVISIONAL HOSPITAL NAGAR UNTARI,JHARKHAND,GARHWA
CHC Barkatha,JHARKHAND,Hazaribag
CHC DHURKI,JHARKHAND,GARHWA
CHC Ichak,JHARKHAND,Hazaribag
CHC Churchu,JHARKHAND,Hazaribag
CHC Keredari,JHARKHAND,Hazaribag
CHC Chandil,JHARKHAND,Seraikela Kharsawan
CHC BISHNUGARH,JHARKHAND,Hazaribag
CHC BHAWNATHPUR,JHARKHAND,GARHWA
SDH Barhi,JHARKHAND,Hazaribag
CHC Bharno,JHARKHAND,GUMLA
CHC Chouparan,JHARKHAND,Hazaribag
community health centre ichagarh,JHARKHAND,Seraikela Kharsawan
Community Health Centre Kuchai,JHARKHAND,Seraikela Kharsawan
COMMUNITY HEALTH CENTER GAMHARIA,JHARKHAND,Seraikela Kharsawan
Community Health Centre Kharsawan,JHARKHAND,Seraikela Kharsawan
CHC Mandu,JHARKHAND,RAMGARH
CHC Rajnagar,JHARKHAND,Seraikela Kharsawan
CHC ARKI,JHARKHAND,KHUNTI
CHC Gola,JHARKHAND,RAMGARH
Sadar Hospital,JHARKHAND,Giridh
CHC RAMGARH,JHARKHAND,DUMKA
COMMUNITY HEALTH CENTRE NIMDIH,JHARKHAND,Seraikela Kharsawan
CHC SARAIYAHAT,JHARKHAND,DUMKA
chc gopikander,JHARKHAND,DUMKA
community health center jasidih,JHARKHAND,DEOGHAR
COMMUNITY HEALTH CENTER DEVIPUR,JHARKHAND,DEOGHAR
Kalyan Hospital,JHARKHAND,DUMKA
SUB DIVISIONAL HOSPITAL MADHUPUR,JHARKHAND,DEOGHAR
CHC SARWAN,JHARKHAND,DEOGHAR
COMMUNITY HEALTH CENTRE KARON,JHARKHAND,DEOGHAR
COMMUNITY HEALTH CENTRE PALAJORI,JHARKHAND,DEOGHAR
CHC RANISHWAR,JHARKHAND,DUMKA
community health center mohanpur,JHARKHAND,DEOGHAR
CHC JARMUNDI,JHARKHAND,DUMKA
JONHA MESO WELFARE HOSPITAL,JHARKHAND,RANCHI
LITTIPARA MESO WELFARE HOSPITAL ,JHARKHAND,PAKUR
WELFARE HOSPITAL TIGRA,JHARKHAND,RANCHI
chc shikaripara,JHARKHAND,DUMKA
CHC RANKA,JHARKHAND,GARHWA
CHC Manatu,JHARKHAND,Palamau
CHC PANKI,JHARKHAND,Palamau
CHC HARIHARGANJ,JHARKHAND,Palamau
CHC BISHRAMPUR,JHARKHAND,Palamau
CHC HUSSAINABAD,JHARKHAND,Palamau
CHC CHAINPUR,JHARKHAND,Palamau
CHC LESLIGANJ,JHARKHAND,Palamau
SDH CHHATTARPUR,JHARKHAND,Palamau
CHC Raidih,JHARKHAND,GUMLA
CHC JAINAGAR,JHARKHAND,KODERMA
CHC Patratu,JHARKHAND,RAMGARH
CHC KARRA,JHARKHAND,KHUNTI
CHC MASALIA,JHARKHAND,DUMKA
CHC RANIA,JHARKHAND,KHUNTI
CHC Pathna,JHARKHAND,Sahibganj
CHC SATGAWAN,JHARKHAND,KODERMA
REFERAL HOSPITAL DOMCHANCH,JHARKHAND,KODERMA
CHC Kathikund,JHARKHAND,DUMKA
CHC JAMA,JHARKHAND,DUMKA
Cummunity health Center POTKA,JHARKHAND,East Singhbhum
REFERAL HOSPITAL BHANDARIYA,JHARKHAND,GARHWA
CHC PATAN,JHARKHAND,Palamau
SUB DIVISIONAL HOSPITAL GHATSILA,JHARKHAND,East Singhbhum
CHC Thethaitanger,JHARKHAND,SIMDEGA
CHC Kurdeg,JHARKHAND,SIMDEGA
CHC Bano,JHARKHAND,SIMDEGA
CHC Kolebira,JHARKHAND,SIMDEGA
CHC PALKOT,JHARKHAND,GUMLA
Sadar Hospital,JHARKHAND,SIMDEGA
CHC Bagodar,JHARKHAND,Giridh
COMMUNITY HEALTH CENTRE,JHARKHAND,JAMTARA
CHC BENGABAD,JHARKHAND,Giridh
CHC MAHAGAMA,JHARKHAND,GODDA
CHC Jugsalai cum Golmuri,JHARKHAND,East Singhbhum
CHC BIRNI,JHARKHAND,Giridh
CHC Bishunpur,JHARKHAND,GUMLA
CHC DUMARI,JHARKHAND,GUMLA
CHC CHAINPUR,JHARKHAND,GUMLA
CHC Basia,JHARKHAND,GUMLA
CHC GHAGHRA,JHARKHAND,GUMLA
CHC SARATH,JHARKHAND,DEOGHAR
CHC KAMDARA,JHARKHAND,GUMLA
Patliputra Medical College & Hospital,JHARKHAND,DHANBAD
CHC CHAKULIA,JHARKHAND,East Singhbhum
CHC Sisai,JHARKHAND,GUMLA
CHC Musabani,JHARKHAND,East Singhbhum
CHC DEORI,JHARKHAND,Giridh
Ref Hospital DUMRI,JHARKHAND,Giridh
CHC GANDEY,JHARKHAND,Giridh
CHC GAWAN,JHARKHAND,Giridh
CHC JAMUA,JHARKHAND,Giridh
CHC PIRTAND,JHARKHAND,Giridh
Ref Hospital RAJDHANWAR,JHARKHAND,Giridh
CHC TISRI,JHARKHAND,Giridh
CHC KUNDAHIT,JHARKHAND,JAMTARA
CHC ORMANJHI,JHARKHAND,RANCHI
CHC RATU,JHARKHAND,RANCHI
CHC SILLI,JHARKHAND,RANCHI
CHC Sonahatu,JHARKHAND,RANCHI
CHC TAMAR,JHARKHAND,RANCHI
State Doranda  Dipensary,JHARKHAND,RANCHI
CHC Dumaria,JHARKHAND,East Singhbhum
CHC Baharagora,JHARKHAND,East Singhbhum
CHC Dhalbhumgarh,JHARKHAND,East Singhbhum
CHC Mahuadanr,JHARKHAND,LATEHAR
CHC Barwadih,JHARKHAND,LATEHAR
CHC Barhait,JHARKHAND,Sahibganj
Referral Hospital Garu,JHARKHAND,LATEHAR
CHC MURHU,JHARKHAND,KHUNTI
COMMUNITY HEALTH CENTRE TALJHARI,JHARKHAND,Sahibganj
S.D.HOSPITAL RAJMAHAL,JHARKHAND,Sahibganj
CHC Bolba,JHARKHAND,SIMDEGA
CHC Jaldega,JHARKHAND,SIMDEGA
CHC Patamda,JHARKHAND,East Singhbhum
MESO GRMAIN HOSPITAL,JHARKHAND,JAMTARA
PHC CHANDWARA,JHARKHAND,KODERMA
SADAR HOSPITAL DHANBAD,JHARKHAND,DHANBAD
CHC Torpa,JHARKHAND,KHUNTI
CHC Borio,JHARKHAND,Sahibganj
CHC BARHARWA,JHARKHAND,Sahibganj
sadar hospital deoghar,JHARKHAND,DEOGHAR
TRAUMA CENTRE NAGAR UNTARI,JHARKHAND,GARHWA
HINDUSTAN COPPER LIMITED MOUBHANDAR WORKS HOSPITAL,JHARKHAND,East Singhbhum
CHC Ramna,JHARKHAND,GARHWA
HARI DEVI  REFRAL HOSPITAL THAKURGANGTI,JHARKHAND,GODDA
RANCHI INSITUTER OF NERU PSYCHIATRY AND ALLIED SCIECES,JHARKHAND,RANCHI
CHC SADAR,JHARKHAND,WEST SINGHBHUM
CHC KODERMA,JHARKHAND,KODERMA
ITKI TB SANATORIUM,JHARKHAND,RANCHI
Chc palari,CHHATTISGARH,BALODA BAZAR
PHC NAWAPARA TENDA,CHHATTISGARH,RAIGARH
PHC BITKULI,CHHATTISGARH,BALODA BAZAR
HEALTH AND WELLNES CENTRE PHC CHANDRAPUR ,CHHATTISGARH,SAKTI
phc deverghata,CHHATTISGARH,SAKTI
PHC BARPARA,CHHATTISGARH,KORIYA
50 Bed MCH Hospital Geedam,CHHATTISGARH,DANTEWADA
Chc Chaple,CHHATTISGARH,RAIGARH
PHC PODIDALHA,CHHATTISGARH,JANJGIR-CHAMPA
PHC Kerakachhar,CHHATTISGARH,KORBA
PHC TILAI,CHHATTISGARH,JANJGIR-CHAMPA
PHC BARPALI KALA,CHHATTISGARH,SAKTI
PHC Seoni Naila Janjgir Champa,CHHATTISGARH,JANJGIR-CHAMPA
PHC Arajpuri,CHHATTISGARH,BALOD
CHC PATADHI,CHHATTISGARH,KORBA
PRIMARY HEALTH CENTER KAPAN,CHHATTISGARH,JANJGIR-CHAMPA
URBAN PRIMARY HEALTH CENTRE NAYAPARA MAHASAMUND,CHHATTISGARH,MAHASAMUND
PHC KHILORA,CHHATTISGARH,RAIPUR
phc manoharpur,CHHATTISGARH,BALRAMPUR
PHC NAWAGAON CHINU,CHHATTISGARH,MUNGELI
Phc Sonakhan ,CHHATTISGARH,BALODA BAZAR
Phc gatadih,CHHATTISGARH,SARANGARH BILAIGARH
UPHC Heerapur,CHHATTISGARH,RAIPUR
PHC MIRTUR,CHHATTISGARH,Bijapur(CGH)
PHC KANTELI,CHHATTISGARH,MUNGELI
PHC RAMHEPUR N ,CHHATTISGARH,MUNGELI
primary health center tengni,CHHATTISGARH,KORIYA
District Hospital GPM,CHHATTISGARH,GAURELLA PENDRA MARWAHI
PHC DHANSIR,CHHATTISGARH,SARANGARH BILAIGARH
PHC MASNIYA KALAN ,CHHATTISGARH,SAKTI
PHC KURDA,CHHATTISGARH,SAKTI
PHC LAWSARA,CHHATTISGARH,SAKTI
PHC Kongud,CHHATTISGARH,KONDAGAON
PHC PALCHUVA,CHHATTISGARH,MUNGELI
UPHC Devpuri,CHHATTISGARH,RAIPUR
PHC KOSHMANDI,CHHATTISGARH,BALODA BAZAR
PHC PUTKAPURI,CHHATTISGARH,RAIGARH
PHC PAWANI,CHHATTISGARH,SARANGARH BILAIGARH
UPHC BANDHWAPARA BILASPUR,CHHATTISGARH,BILASPUR
PHC PORTHA,CHHATTISGARH,SAKTI
PHC ERAGAON ,CHHATTISGARH,KONDAGAON
PHC MOPKA,CHHATTISGARH,BALODA BAZAR
PHC BARPALI,CHHATTISGARH,BALODA BAZAR
PHC LENDHARA,CHHATTISGARH,SARANGARH BILAIGARH
PHC KONDATARAI RAIGARH,CHHATTISGARH,RAIGARH
PHC BHARRIDAND,CHHATTISGARH,GAURELLA PENDRA MARWAHI
CHC VIJAYNAGAR RAIGARH,CHHATTISGARH,RAIGARH
PHC KOSHIR RAIGARH,CHHATTISGARH,SARANGARH BILAIGARH
PHC SEMARDARRI,CHHATTISGARH,GAURELLA PENDRA MARWAHI
UPHC RAMBHATHA RAIGARH,CHHATTISGARH,RAIGARH
PHC NANDELI RAIGARH,CHHATTISGARH,RAIGARH
PHC LIBRA RAIGARH,CHHATTISGARH,RAIGARH
UPHC Changorabhata,CHHATTISGARH,RAIPUR
PHC Salkhan,CHHATTISGARH,JANJGIR-CHAMPA
PHC KIRODIMAL NAGAR RAIGARH,CHHATTISGARH,RAIGARH
PHC Mandhar,CHHATTISGARH,RAIPUR
PHC Silyari,CHHATTISGARH,RAIPUR
PHC KERLAPAL,CHHATTISGARH,SUKMA
PHC Jarve Balodabazar,CHHATTISGARH,BALODA BAZAR
PHC Jarve Sakti Janjgir ,CHHATTISGARH,SAKTI
phc kotmisonar,CHHATTISGARH,JANJGIR-CHAMPA
MCH HOSPITAL RAIGARH,CHHATTISGARH,RAIGARH
UPHC Kawardha,CHHATTISGARH,KABIRDHAM
PHC GOLAPALLI,CHHATTISGARH,SUKMA
PHC GADIRAS,CHHATTISGARH,SUKMA
PRIMARY HEALTH CENTRE DHAUDAI,CHHATTISGARH,NARAYANPUR
Mother & Child Hospital,CHHATTISGARH,RAIPUR
PHC CHINTAGUFHA,CHHATTISGARH,SUKMA
PHC BURDI,CHHATTISGARH,SUKMA
PHC GHAGHRA,CHHATTISGARH,JASHPUR
PHC DUMARPALI RAIGARH,CHHATTISGARH,RAIGARH
PHC KENDA,CHHATTISGARH,BILASPUR
PHC Sarda,CHHATTISGARH,BEMETARA
PHC Shampur,CHHATTISGARH,KONDAGAON
PHC BADEGUDRA,CHHATTISGARH,DANTEWADA
PHC Chipawand,CHHATTISGARH,KONDAGAON
PHC Randhna,CHHATTISGARH,KONDAGAON
PHC Saragaon Janjgir ,CHHATTISGARH,JANJGIR-CHAMPA
Urban Primary Health Center ,CHHATTISGARH,JANJGIR-CHAMPA
phc thathari,CHHATTISGARH,SAKTI
PHC Bargaon,CHHATTISGARH,JANJGIR-CHAMPA
Phc bhainso,CHHATTISGARH,JANJGIR-CHAMPA
PHC Raipura,CHHATTISGARH,SAKTI
PHC Bhothiya Janjgir Champa,CHHATTISGARH,SAKTI
PHC SAPOS BLOCK DABHARA JANJGIR CHAMPA,CHHATTISGARH,SAKTI
PHC Mulmula Block Pamgarh Distric Janjgir Champa,CHHATTISGARH,JANJGIR-CHAMPA
PHC BIRRA BLOCK BAMHNIDIH DISTRICT JANJGIR CHAPMA,CHHATTISGARH,JANJGIR-CHAMPA
PHC Biharpur,CHHATTISGARH,MANENDRAGARH CHIRIMIRI BHARATPUR
PHC DARANG BLOCK BAMHANIDIH,CHHATTISGARH,JANJGIR-CHAMPA
PHC CHHINDNAR,CHHATTISGARH,DANTEWADA
PHC BANJARIDAND,CHHATTISGARH,KORIYA
UPHC KACHNA ,CHHATTISGARH,RAIPUR
PHC BANDANA,CHHATTISGARH,SURGUJA
PHC Bayanar,CHHATTISGARH,KONDAGAON
PRIMARY HEALTH CENTER NAWANAGAR,CHHATTISGARH,SURGUJA
PHC Bamhani,CHHATTISGARH,KONDAGAON
PRIMARY HEALTH CENTER REWATI,CHHATTISGARH,SURAJPUR
PHC Badekanera,CHHATTISGARH,KONDAGAON
PHC BUnagaon,CHHATTISGARH,KONDAGAON
PHC Dahikonga,CHHATTISGARH,KONDAGAON
PHC CHANDARPUR,CHHATTISGARH,SURAJPUR
PHC Baderajpur,CHHATTISGARH,KONDAGAON
PHC TARA ,CHHATTISGARH,SURAJPUR
PHC LUBHA ,CHHATTISGARH,KONDAGAON
PHC parashurampur,CHHATTISGARH,SURAJPUR
PHC KETKA,CHHATTISGARH,SURAJPUR
PHC SONPUR ,CHHATTISGARH,SURAJPUR
phc silota,CHHATTISGARH,SURAJPUR
PHC KARANJI ,CHHATTISGARH,SURAJPUR
PHC CHIRIMI,CHHATTISGARH,KORIYA
PHC PRATAPGARH,CHHATTISGARH,SURGUJA
PHC BUCHATOLA,CHHATTISGARH,RAJNANDGAON
PHC MAHNGAI,CHHATTISGARH,SURAJPUR
PHC KHUJJI,CHHATTISGARH,RAJNANDGAON
PHC Nagar,CHHATTISGARH,KORIYA
PHC UMAPUR,CHHATTISGARH,SURAJPUR
PHC SARAIPALI RAIGARH,CHHATTISGARH,RAIGARH
PHC KUDUMKELA RAIGARH,CHHATTISGARH,RAIGARH
PHC GUTURMA,CHHATTISGARH,SURGUJA
PHC MUKDEGA RAIGARH,CHHATTISGARH,RAIGARH
PHC JOBI RAIGARH,CHHATTISGARH,RAIGARH
PHC SISHRINGA RAIGARH,CHHATTISGARH,RAIGARH
PHC DONGRIPALI RAIGARH,CHHATTISGARH,SARANGARH BILAIGARH
PHC HATI RAIGARH,CHHATTISGARH,RAIGARH
PHC BONDA RAIGARH,CHHATTISGARH,SARANGARH BILAIGARH
UPHC Ramnagar,CHHATTISGARH,RAIPUR
PHC KOLHENJHARIYA,CHHATTISGARH,JASHPUR
phc kersai,CHHATTISGARH,JASHPUR
PHC Kathoutiya,CHHATTISGARH,BEMETARA
PHC Batar,CHHATTISGARH,BEMETARA
PHC Amdi,CHHATTISGARH,DHAMTARI
PHC SURELI,CHHATTISGARH,KANKER
PHC Sonabal,CHHATTISGARH,KONDAGAON
PHC LOHATTAR,CHHATTISGARH,KANKER
PHC ODAN,CHHATTISGARH,BALODA BAZAR
PHC MARDAPOTI,CHHATTISGARH,KANKER
PHC LEDRI,CHHATTISGARH,MANENDRAGARH CHIRIMIRI BHARATPUR
UPHC SHRIRAM NAGAR KANKER,CHHATTISGARH,KANKER
PHC Rohra,CHHATTISGARH,BALODA BAZAR
PHC GIDHPURI,CHHATTISGARH,BALODA BAZAR
PHC DATAN P,CHHATTISGARH,BALODA BAZAR
PRIMARY HEALTH CENTER RAJADEVRI ,CHHATTISGARH,BALODA BAZAR
PHC Ratanpur,CHHATTISGARH,MANENDRAGARH CHIRIMIRI BHARATPUR
PHC CHENDRA,CHHATTISGARH,SURAJPUR
PHC Bhaiswar,CHHATTISGARH,KORIYA
PHC KAMALPUR ,CHHATTISGARH,SURAJPUR
PRIMARY HEALTH CENTER KUKARGAON,CHHATTISGARH,JASHPUR
PHC CHUNGUDI,CHHATTISGARH,SURAJPUR
PHC DHARSEDI,CHHATTISGARH,SURAJPUR
PHC KHOD,CHHATTISGARH,SURAJPUR
PHC Badesalhi,CHHATTISGARH,KORIYA
PHC KAYA RAIGARH,CHHATTISGARH,RAIGARH
PHC HIRRI RAIGARH,CHHATTISGARH,SARANGARH BILAIGARH
PHC GODAM RAIGARH,CHHATTISGARH,SARANGARH BILAIGARH
PHC MIDMIDA RAIGARH,CHHATTISGARH,RAIGARH
PHC CHHAPORA RAIGARH,CHHATTISGARH,RAIGARH
PHC KALYANPUR,CHHATTISGARH,SURAJPUR
PHC BADE BHANDAR RAIGARH,CHHATTISGARH,RAIGARH
PHC BINJKOT RAIGARH,CHHATTISGARH,RAIGARH
PRIMARY  HEALTH CENTER  MAHORA,CHHATTISGARH,KORBA
PHC LANJIT,CHHATTISGARH,SURAJPUR
PHC RAJPUR RAIGARH,CHHATTISGARH,RAIGARH
PHC LARIPANI RAIGARH,CHHATTISGARH,RAIGARH
CHC KAPU RAIGARH,CHHATTISGARH,RAIGARH
PHC Manikchouri,CHHATTISGARH,RAIPUR
PHC SAPALWA,CHHATTISGARH,KORBA
PHC KHARWANI ,CHHATTISGARH,KORBA
PHC JHIKKI,CHHATTISGARH,JASHPUR
PHC KALIYA,CHHATTISGARH,JASHPUR
PHC CHAMPA,CHHATTISGARH,JASHPUR
PHC SULESA,CHHATTISGARH,JASHPUR
PHC PANDRAPATH,CHHATTISGARH,JASHPUR
PHC CHHICHALI,CHHATTISGARH,JASHPUR
PHC PAMPAPUR,CHHATTISGARH,SURAJPUR
CHC  KHAROUD TIWARI PARA BLOCK PAMGRH,CHHATTISGARH,JANJGIR-CHAMPA
